Part,Pin Number,Pin Name,Side,Order,Pin Type,PinShape
STM32H743VGT6,1,PE2,Left,1,I/O,None
STM32H743VGT6,2,PE3,Left,2,I/O,None
STM32H743VGT6,3,PE4,Left,3,I/O,None
STM32H743VGT6,4,PE5,Left,4,I/O,None
STM32H743VGT6,5,PE6,Left,5,I/O,None
STM32H743VGT6,6,VBAT,Left,6,POWER,None
STM32H743VGT6,7,PC13,Left,7,I/O,None
STM32H743VGT6,8,PC14-OSC32_IN,Left,8,I/O,None
STM32H743VGT6,9,PC15-OSC32_OUT,Left,9,I/O,None
STM32H743VGT6,10,VSS,Left,10,POWER,None
STM32H743VGT6,11,VDD,Left,11,POWER,None
STM32H743VGT6,12,PH0-OSC_IN,Left,12,I/O,None
STM32H743VGT6,13,PH1-OSC_OUT,Left,13,I/O,None
STM32H743VGT6,14,NRST,Left,14,INPUT,None
STM32H743VGT6,15,PC0,Left,15,I/O,None
STM32H743VGT6,16,PC1,Left,16,I/O,None
STM32H743VGT6,17,PC2_C,Left,17,I/O,None
STM32H743VGT6,18,PC3_C,Left,18,I/O,None
STM32H743VGT6,19,VSSA,Left,19,POWER,None
STM32H743VGT6,20,VREF+,Left,20,POWER,None
STM32H743VGT6,21,VDDA,Left,21,POWER,None
STM32H743VGT6,22,PA0,Left,22,I/O,None
STM32H743VGT6,23,PA1,Left,23,I/O,None
STM32H743VGT6,24,PA2,Left,24,I/O,None
STM32H743VGT6,25,PA3,Left,25,I/O,None
STM32H743VGT6,26,VSS,Bottom,1,POWER,None
STM32H743VGT6,27,VDD,Bottom,2,POWER,None
STM32H743VGT6,28,PA4,Bottom,3,I/O,None
STM32H743VGT6,29,PA5,Bottom,4,I/O,None
STM32H743VGT6,30,PA6,Bottom,5,I/O,None
STM32H743VGT6,31,PA7,Bottom,6,I/O,None
STM32H743VGT6,32,PC4,Bottom,7,I/O,None
STM32H743VGT6,33,PC5,Bottom,8,I/O,None
STM32H743VGT6,34,PB0,Bottom,9,I/O,None
STM32H743VGT6,35,PB1,Bottom,10,I/O,None
STM32H743VGT6,36,PB2,Bottom,11,I/O,None
STM32H743VGT6,37,PE7,Bottom,12,I/O,None
STM32H743VGT6,38,PE8,Bottom,13,I/O,None
STM32H743VGT6,39,PE9,Bottom,14,I/O,None
STM32H743VGT6,40,PE10,Bottom,15,I/O,None
STM32H743VGT6,41,PE11,Bottom,16,I/O,None
STM32H743VGT6,42,PE12,Bottom,17,I/O,None
STM32H743VGT6,43,PE13,Bottom,18,I/O,None
STM32H743VGT6,44,PE14,Bottom,19,I/O,None
STM32H743VGT6,45,PE15,Bottom,20,I/O,None
STM32H743VGT6,46,PB10,Bottom,21,I/O,None
STM32H743VGT6,47,PB11,Bottom,22,I/O,None
STM32H743VGT6,48,VCAP,Bottom,23,POWER,None
STM32H743VGT6,49,VSS,Bottom,24,POWER,None
STM32H743VGT6,50,VDD,Bottom,25,POWER,None
STM32H743VGT6,51,PB12,Right,1,I/O,None
STM32H743VGT6,52,PB13,Right,2,I/O,None
STM32H743VGT6,53,PB14,Right,3,I/O,None
STM32H743VGT6,54,PB15,Right,4,I/O,None
STM32H743VGT6,55,PD8,Right,5,I/O,None
STM32H743VGT6,56,PD9,Right,6,I/O,None
STM32H743VGT6,57,PD10,Right,7,I/O,None
STM32H743VGT6,58,PD11,Right,8,I/O,None
STM32H743VGT6,59,PD12,Right,9,I/O,None
STM32H743VGT6,60,PD13,Right,10,I/O,None
STM32H743VGT6,61,PD14,Right,11,I/O,None
STM32H743VGT6,62,PD15,Right,12,I/O,None
STM32H743VGT6,63,PC6,Right,13,I/O,None
STM32H743VGT6,64,PC7,Right,14,I/O,None
STM32H743VGT6,65,PC8,Right,15,I/O,None
STM32H743VGT6,66,PC9,Right,16,I/O,None
STM32H743VGT6,67,PA8,Right,17,I/O,None
STM32H743VGT6,68,PA9,Right,18,I/O,None
STM32H743VGT6,69,PA10,Right,19,I/O,None
STM32H743VGT6,70,PA11,Right,20,I/O,None
STM32H743VGT6,71,PA12,Right,21,I/O,None
STM32H743VGT6,72,PA13,Right,22,I/O,None
STM32H743VGT6,73,VCAP,Right,23,POWER,None
STM32H743VGT6,74,VSS,Right,24,POWER,None
STM32H743VGT6,75,VDD,Right,25,POWER,None
STM32H743VGT6,76,PA14,Top,1,I/O,None
STM32H743VGT6,77,PA15,Top,2,I/O,None
STM32H743VGT6,78,PC10,Top,3,I/O,None
STM32H743VGT6,79,PC11,Top,4,I/O,None
STM32H743VGT6,80,PC12,Top,5,I/O,None
STM32H743VGT6,81,PD0,Top,6,I/O,None
STM32H743VGT6,82,PD1,Top,7,I/O,None
STM32H743VGT6,83,PD2,Top,8,I/O,None
STM32H743VGT6,84,PD3,Top,9,I/O,None
STM32H743VGT6,85,PD4,Top,10,I/O,None
STM32H743VGT6,86,PD5,Top,11,I/O,None
STM32H743VGT6,87,PD6,Top,12,I/O,None
STM32H743VGT6,88,PD7,Top,13,I/O,None
STM32H743VGT6,89,PB3,Top,14,I/O,None
STM32H743VGT6,90,PB4,Top,15,I/O,None
STM32H743VGT6,91,PB5,Top,16,I/O,None
STM32H743VGT6,92,PB6,Top,17,I/O,None
STM32H743VGT6,93,PB7,Top,18,I/O,None
STM32H743VGT6,94,BOOT0,Top,19,INPUT,None
STM32H743VGT6,95,PB8,Top,20,I/O,None
STM32H743VGT6,96,PB9,Top,21,I/O,None
STM32H743VGT6,97,PE0,Top,22,I/O,None
STM32H743VGT6,98,PE1,Top,23,I/O,None
STM32H743VGT6,99,VSS,Top,24,POWER,None
STM32H743VGT6,100,VDD,Top,25,POWER,None
