Part,Pin Number,Pin Name,Side,Order,Pin Type,PinShape
AT7456E.1,1,N.C.,Left,1,Passive,None
AT7456E.1,2,N.C.,Left,2,Passive,None
AT7456E.1,3,DVDD,Left,3,POWER,None
AT7456E.1,4,DGND,Left,4,POWER,None
AT7456E.1,5,CLKIN,Left,5,IN,None
AT7456E.1,6,XFB,Left,6,I/O,None
AT7456E.1,7,CLKOUT,Left,7,OUT,None
AT7456E.1,8,/CS,Left,8,IN,None
AT7456E.1,9,SDIN,Left,9,IN,None
AT7456E.1,10,SCLK,Left,10,IN,None
AT7456E.1,11,SDOUT,Left,11,OUT,None
AT7456E.1,12,LOS,Left,12,OUT,None
AT7456E.1,13,SYNC_IN,Left,13,IN,None
AT7456E.1,14,N.C.,Left,14,Passive,None
AT7456E.1,28,N.C.,Right,1,Passive,None
AT7456E.1,27,N.C.,Right,2,Passive,None
AT7456E.1,26,VOUT,Right,3,OUT,None
AT7456E.1,25,SAG,Right,4,I/O,None
AT7456E.1,24,PVDD,Right,5,POWER,None
AT7456E.1,23,PGND,Right,6,POWER,None
AT7456E.1,22,VIN,Right,7,IN,None
AT7456E.1,21,AVDD,Right,8,POWER,None
AT7456E.1,20,AGND,Right,9,POWER,None
AT7456E.1,19,/RESET,Right,10,IN,None
AT7456E.1,18,/HSYNC,Right,11,I/O,None
AT7456E.1,17,/VSYNC,Right,12,I/O,None
AT7456E.1,16,N.C.,Right,13,Passive,None
AT7456E.1,15,N.C.,Right,14,Passive,None
